system_condition,base_candidate_id,job_id,job_title,run_id,metric,variant_count,counterfactual_range,counterfactual_std,min_value,max_value,mean_value
baseline_llm,base_0001,data_analyst,Data Analyst,1,role_alignment_index,8,6.25,1.9974872608211691,51.25,57.5,54.21875
baseline_llm,base_0001,data_analyst,Data Analyst,1,supportiveness_index,8,11.11,4.706457569886598,88.89,100.0,97.475
baseline_llm,base_0001,data_analyst,Data Analyst,2,role_alignment_index,8,3.75,1.1080065755348978,50.0,53.75,52.1875
baseline_llm,base_0001,data_analyst,Data Analyst,2,supportiveness_index,8,11.11,3.927978169491271,88.89,100.0,98.61125
baseline_llm,base_0001,data_analyst,Data Analyst,3,role_alignment_index,8,7.5,2.3563648607851153,47.5,55.0,52.65625
baseline_llm,base_0001,data_analyst,Data Analyst,3,supportiveness_index,8,25.0,9.37424244558308,75.0,100.0,94.0475
baseline_llm,base_0001,hr_coordinator,HR Coordinator,1,role_alignment_index,8,7.5,2.052600702245116,37.5,45.0,41.09375
baseline_llm,base_0001,hr_coordinator,HR Coordinator,1,supportiveness_index,8,11.11,3.927978169491271,88.89,100.0,98.61125
baseline_llm,base_0001,hr_coordinator,HR Coordinator,2,role_alignment_index,8,7.5,2.907617765702461,37.5,45.0,41.71875
baseline_llm,base_0001,hr_coordinator,HR Coordinator,2,supportiveness_index,8,10.0,3.5355339059327378,90.0,100.0,98.75
baseline_llm,base_0001,hr_coordinator,HR Coordinator,3,role_alignment_index,8,7.5,2.5387620014487378,36.25,43.75,38.90625
baseline_llm,base_0001,hr_coordinator,HR Coordinator,3,supportiveness_index,8,10.0,3.5355339059327378,90.0,100.0,98.75
baseline_llm,base_0001,marketing_specialist,Marketing Specialist,1,role_alignment_index,8,6.25,2.106272520015259,32.5,38.75,34.53125
baseline_llm,base_0001,marketing_specialist,Marketing Specialist,1,supportiveness_index,8,10.0,3.9596678702710846,90.0,100.0,97.91624999999999
baseline_llm,base_0001,marketing_specialist,Marketing Specialist,2,role_alignment_index,8,5.0,1.8600595228571124,28.75,33.75,32.1875
baseline_llm,base_0001,marketing_specialist,Marketing Specialist,2,supportiveness_index,8,11.11,5.237982163281691,88.89,100.0,96.225
baseline_llm,base_0001,marketing_specialist,Marketing Specialist,3,role_alignment_index,8,6.25,2.7345344341274203,27.5,33.75,31.5625
baseline_llm,base_0001,marketing_specialist,Marketing Specialist,3,supportiveness_index,8,11.11,4.995053088520968,88.89,100.0,96.46875
baseline_llm,base_0001,project_manager,Project Manager,1,role_alignment_index,8,10.0,3.775951866748304,43.75,53.75,49.53125
baseline_llm,base_0001,project_manager,Project Manager,1,supportiveness_index,8,12.5,5.786375623578446,87.5,100.0,96.875
baseline_llm,base_0001,project_manager,Project Manager,2,role_alignment_index,8,7.5,2.749797070434731,47.5,55.0,50.78125
baseline_llm,base_0001,project_manager,Project Manager,2,supportiveness_index,8,12.5,5.4772658390321505,87.5,100.0,97.04875
baseline_llm,base_0001,project_manager,Project Manager,3,role_alignment_index,8,6.25,1.976423537605237,47.5,53.75,51.5625
baseline_llm,base_0001,project_manager,Project Manager,3,supportiveness_index,8,12.5,5.625840254702276,87.5,100.0,96.0075
baseline_llm,base_0001,software_developer,Software Developer,1,role_alignment_index,8,3.25,1.314411872826996,16.25,19.5,17.0625
baseline_llm,base_0001,software_developer,Software Developer,1,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0001,software_developer,Software Developer,2,role_alignment_index,8,5.0,2.158610250667247,16.25,21.25,18.59375
baseline_llm,base_0001,software_developer,Software Developer,2,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0001,software_developer,Software Developer,3,role_alignment_index,8,5.0,1.8600595228571124,16.25,21.25,17.1875
baseline_llm,base_0001,software_developer,Software Developer,3,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0002,data_analyst,Data Analyst,1,role_alignment_index,8,6.25,2.7345344341274203,11.25,17.5,15.3125
baseline_llm,base_0002,data_analyst,Data Analyst,1,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0002,data_analyst,Data Analyst,2,role_alignment_index,8,1.25,0.4419417382415922,16.25,17.5,17.34375
baseline_llm,base_0002,data_analyst,Data Analyst,2,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0002,data_analyst,Data Analyst,3,role_alignment_index,8,6.25,2.582349082853495,11.25,17.5,14.53125
baseline_llm,base_0002,data_analyst,Data Analyst,3,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0002,hr_coordinator,HR Coordinator,1,role_alignment_index,8,7.5,2.2988253988256075,25.0,32.5,27.15625
baseline_llm,base_0002,hr_coordinator,HR Coordinator,1,supportiveness_index,8,14.290000000000006,5.738722947784515,85.71,100.0,96.03625
baseline_llm,base_0002,hr_coordinator,HR Coordinator,2,role_alignment_index,8,7.5,2.6516504294495533,23.75,31.25,27.1875
baseline_llm,base_0002,hr_coordinator,HR Coordinator,2,supportiveness_index,8,20.0,7.3372784707371475,80.0,100.0,96.36375
baseline_llm,base_0002,hr_coordinator,HR Coordinator,3,role_alignment_index,8,6.25,2.219032929646864,22.5,28.75,25.8125
baseline_llm,base_0002,hr_coordinator,HR Coordinator,3,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0002,marketing_specialist,Marketing Specialist,1,role_alignment_index,8,5.0,2.0863074009907003,15.0,20.0,17.8125
baseline_llm,base_0002,marketing_specialist,Marketing Specialist,1,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0002,marketing_specialist,Marketing Specialist,2,role_alignment_index,8,5.0,2.139916136541003,15.0,20.0,16.96875
baseline_llm,base_0002,marketing_specialist,Marketing Specialist,2,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0002,marketing_specialist,Marketing Specialist,3,role_alignment_index,8,5.0,1.7677669529663689,15.0,20.0,16.875
baseline_llm,base_0002,marketing_specialist,Marketing Specialist,3,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0002,project_manager,Project Manager,1,role_alignment_index,8,8.75,2.615202805574687,27.5,36.25,32.75
baseline_llm,base_0002,project_manager,Project Manager,1,supportiveness_index,8,16.67,7.678104304728202,83.33,100.0,92.955
baseline_llm,base_0002,project_manager,Project Manager,2,role_alignment_index,8,11.25,3.775951866748304,32.5,43.75,34.53125
baseline_llm,base_0002,project_manager,Project Manager,2,supportiveness_index,8,18.180000000000007,7.128641926361974,81.82,100.0,92.0275
baseline_llm,base_0002,project_manager,Project Manager,3,role_alignment_index,8,15.5,4.168333000133266,27.0,42.5,34.0
baseline_llm,base_0002,project_manager,Project Manager,3,supportiveness_index,8,14.290000000000006,4.634163316377311,85.71,100.0,89.10125
baseline_llm,base_0002,software_developer,Software Developer,1,role_alignment_index,8,1.25,0.6232117273791125,6.25,7.5,6.9375
baseline_llm,base_0002,software_developer,Software Developer,1,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0002,software_developer,Software Developer,2,role_alignment_index,8,4.25,1.3562026818605375,5.75,10.0,7.125
baseline_llm,base_0002,software_developer,Software Developer,2,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0002,software_developer,Software Developer,3,role_alignment_index,8,2.0,0.7898632340927312,6.0,8.0,6.90625
baseline_llm,base_0002,software_developer,Software Developer,3,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0003,data_analyst,Data Analyst,1,role_alignment_index,8,6.25,2.2873877802294165,7.5,13.75,10.375
baseline_llm,base_0003,data_analyst,Data Analyst,1,supportiveness_index,8,14.290000000000006,6.560853603000148,85.71,100.0,92.34
baseline_llm,base_0003,data_analyst,Data Analyst,2,role_alignment_index,8,5.0,1.9408093856503712,8.75,13.75,11.40625
baseline_llm,base_0003,data_analyst,Data Analyst,2,supportiveness_index,8,18.180000000000007,6.735428716867251,81.82,100.0,95.64500000000001
baseline_llm,base_0003,data_analyst,Data Analyst,3,role_alignment_index,8,5.0,1.7677669529663689,7.5,12.5,8.75
baseline_llm,base_0003,data_analyst,Data Analyst,3,supportiveness_index,8,16.67,6.451243374065855,83.33,100.0,95.64375
baseline_llm,base_0003,hr_coordinator,HR Coordinator,1,role_alignment_index,8,4.25,1.205919181134694,9.5,13.75,12.28125
baseline_llm,base_0003,hr_coordinator,HR Coordinator,1,supportiveness_index,8,22.22,8.835502148394609,77.78,100.0,92.26125
baseline_llm,base_0003,hr_coordinator,HR Coordinator,2,role_alignment_index,8,2.5,0.8838834764831844,11.25,13.75,12.8125
baseline_llm,base_0003,hr_coordinator,HR Coordinator,2,supportiveness_index,8,25.0,9.816575996023985,75.0,100.0,93.3025
