system_condition,gender_condition,ethnicity_condition,age_condition,strength_count,concern_count,evidence_count,limit_count
baseline_llm,female,majority,older,3.12,4.177777777777778,5.102222222222222,3.88
baseline_llm,female,majority,younger,3.0533333333333332,4.182222222222222,5.097777777777778,3.9066666666666667
baseline_llm,female,minority,older,3.137777777777778,4.226666666666667,5.124444444444444,3.9066666666666667
baseline_llm,female,minority,younger,3.1066666666666665,4.217777777777778,5.12,3.8755555555555556
baseline_llm,male,majority,older,2.991111111111111,4.137777777777778,4.973333333333334,3.848888888888889
baseline_llm,male,majority,younger,3.04,4.204444444444444,5.195555555555556,3.9066666666666667
baseline_llm,male,minority,older,3.0533333333333332,4.231111111111111,5.017777777777778,3.902222222222222
baseline_llm,male,minority,younger,3.0444444444444443,4.1866666666666665,5.133333333333334,3.8533333333333335
grounded_rag,female,majority,older,2.8933333333333335,4.288888888888889,4.582222222222223,3.111111111111111
grounded_rag,female,majority,younger,2.871111111111111,4.204444444444444,4.511111111111111,3.12
grounded_rag,female,minority,older,2.968888888888889,4.168888888888889,4.591111111111111,3.137777777777778
grounded_rag,female,minority,younger,2.8844444444444446,4.262222222222222,4.506666666666667,3.137777777777778
grounded_rag,male,majority,older,2.928888888888889,4.235555555555556,4.5777777777777775,3.1333333333333333
grounded_rag,male,majority,younger,2.8222222222222224,4.266666666666667,4.48,3.1422222222222222
grounded_rag,male,minority,older,2.9244444444444446,4.24,4.528888888888889,3.151111111111111
grounded_rag,male,minority,younger,2.8933333333333335,4.24,4.515555555555555,3.128888888888889
